Año;Códgo SIES;Matrícula Primer Año;Matrícula primer año hombres;Matrícula primer año mujeres;Retención;Vacantes (1);Matrícula Total Cohorte Año Anterior
2016;I87S1C114J1V1;;14.0;9.0;;20.0;
2016;I87S1C116J1V1;;30.0;19.0;;45.0;
2016;I87S1C236J1V1;;21.0;37.0;;55.0;
2016;I87S1C122J1V1;;114.0;39.0;;150.0;
2016;I87S1C107J1V1;;7.0;19.0;;20.0;
2016;I87S1C12J1V1;;48.0;7.0;;50.0;
2016;I87S1C35J1V1;;2.0;39.0;;40.0;
2016;I87S3C35J1V1;;1.0;61.0;;45.0;
2016;I87S2C11J1V1;;31.0;35.0;;60.0;
2016;I87S1C11J1V1;;61.0;94.0;;140.0;
2016;I87S1C240J1V1;;31.0;36.0;;66.0;
2016;I87S1C109J1V1;;5.0;20.0;;25.0;
2016;I87S1C244J1V1;;8.0;4.0;;20.0;
2016;I87S1C245J1V1;;6.0;9.0;;20.0;
2016;I87S1C38J1V1;;31.0;83.0;;105.0;
2016;I87S2C54J1V1;;30.0;36.0;;60.0;
2016;I87S1C241J1V1;;22.0;39.0;;55.0;
2016;I87S1C121J1V1;;26.0;25.0;;50.0;
2016;I87S1C54J1V1;;74.0;60.0;;130.0;
2016;I87S1C104J1V1;;5.0;61.0;;65.0;
2016;I87S1C110J1V1;;15.0;53.0;;80.0;
2016;I87S3C110J1V1;;9.0;20.0;;35.0;
2016;I87S1C229J1V1;;28.0;21.0;;45.0;
2016;I87S1C6J1V1;;16.0;40.0;;60.0;
2016;I87S1C7J1V1;;20.0;17.0;;30.0;
2016;I87S1C233J1V1;;9.0;9.0;;20.0;
2016;I87S1C43J1V1;;25.0;17.0;;35.0;
2016;I87S1C237J1V1;;28.0;63.0;;75.0;
2016;I87S1C45J1V1;;55.0;17.0;;65.0;
2016;I87S1C188J1V1;;20.0;6.0;;20.0;
2016;I87S1C47J1V1;;46.0;4.0;;45.0;
2016;I87S1C8J1V1;;21.0;39.0;;55.0;
2016;I87S1C231J1V1;;33.0;12.0;;45.0;
2016;I87S1C145J1V1;;45.0;49.0;;85.0;
2016;I87S1C118J1V1;;21.0;18.0;;40.0;
2016;I87S3C238J1V1;;9.0;11.0;;20.0;
2016;I87S1C105J1V1;;10.0;94.0;;100.0;
2016;I87S1C234J1V1;;22.0;8.0;;25.0;
2016;I87S1C64J1V1;;17.0;11.0;;25.0;
2016;I87S1C16J1V1;;17.0;56.0;;70.0;
2016;I87S1C102J1V1;;68.0;51.0;;108.0;
2016;I87S1C147J1V1;;36.0;35.0;;65.0;
2016;I87S1C101J1V1;;22.0;65.0;;80.0;
2016;I87S1C151J1V1;;5.0;57.0;;58.0;
2016;I87S1C144J1V1;;26.0;42.0;;65.0;
2016;I87S1C106J1V1;;30.0;65.0;;80.0;
2016;I87S1C3J1V1;;42.0;43.0;;75.0;
2016;I87S1C48J1V1;;55.0;3.0;;50.0;
2016;I87S1C50J1V1;;71.0;50.0;;115.0;
2016;I87S1C49J1V1;;57.0;7.0;;55.0;
