Matr’cula Primer A–o;Matr’cula Total Cohorte A–o Anterior;N¡ ProgramasConsiderados;A–o;C—dgo SIES;Matr’cula primer a–o hombres;Matr’cula primer a–o mujeres;Matr’cula total hombres;Matr’cula total mujeres;Retenci—n
19;12;1;2017;I100S28C10J1V1;8;11;39;39;0,631578947
11;5;1;2018;I100S28C10J1V1;2;9;25;37;0,454545455
19;15;1;2019;I100S28C10J1V1;6;13;18;30;0,789473684
33;22;1;2016;I100S29C10J1V1;21;12;133;95;0,666666667
26;12;1;2017;I100S29C10J1V1;16;10;112;66;0,461538462
15;11;1;2018;I100S29C10J1V1;9;6;91;62;0,733333333
26;19;1;2019;I100S29C10J1V1;8;18;65;64;0,730769231
12;5;1;2016;I100S29C10J2V1;9;3;95;47;0,416666667
20;8;1;2017;I100S29C10J2V1;8;12;58;43;0,4
16;6;1;2018;I100S29C10J2V1;8;8;46;25;0,375
13;10;1;2016;I100S29C144J2V1;13;0;175;5;0,769230769
20;9;1;2017;I100S29C144J2V1;20;0;156;3;0,45
24;17;1;2018;I100S29C144J2V1;23;1;131;3;0,708333333
24;12;1;2019;I100S29C144J2V1;21;3;140;5;0,5
24;15;1;2020;I100S29C144J2V1;23;1;131;5;0,625
51;39;1;2016;I100S29C149J1V1;51;0;243;3;0,764705882
51;42;1;2017;I100S29C149J1V1;49;2;229;4;0,823529412
44;40;1;2018;I100S29C149J1V1;44;0;245;4;0,909090909
45;36;1;2019;I100S29C149J1V1;44;1;243;5;0,8
47;39;1;2020;I100S29C149J1V1;47;0;229;8;0,829787234
49;27;1;2016;I100S29C149J2V1;49;0;182;1;0,551020408
61;39;1;2017;I100S29C149J2V1;60;1;210;2;0,639344262
54;35;1;2018;I100S29C149J2V1;53;1;213;3;0,648148148
61;35;1;2019;I100S29C149J2V1;59;2;243;5;0,573770492
61;30;1;2020;I100S29C149J2V1;58;3;226;3;0,491803279
47;33;1;2016;I100S29C150J1V1;18;29;76;94;0,70212766
42;39;1;2017;I100S29C150J1V1;21;21;75;96;0,928571429
48;43;1;2018;I100S29C150J1V1;16;32;80;101;0,895833333
48;39;1;2019;I100S29C150J1V1;21;27;86;124;0,8125
57;43;1;2020;I100S29C150J1V1;23;34;90;113;0,754385965
53;50;1;2016;I100S29C169J1V1;41;12;114;44;0,943396226
51;45;1;2017;I100S29C169J1V1;30;21;139;68;0,882352941
57;45;1;2018;I100S29C169J1V1;31;26;169;89;0,789473684
76;66;1;2019;I100S29C169J1V1;49;27;188;99;0,868421053
85;61;1;2020;I100S29C169J1V1;48;37;197;133;0,717647059
71;54;1;2016;I100S29C176J1V1;58;13;203;41;0,76056338
69;51;1;2017;I100S29C176J1V1;55;14;228;47;0,739130435
63;50;1;2018;I100S29C176J1V1;54;9;227;47;0,793650794
65;53;1;2019;I100S29C176J1V1;53;12;228;51;0,815384615
69;46;1;2020;I100S29C176J1V1;53;16;211;49;0,666666667
48;33;1;2016;I100S29C176J2V1;40;8;140;18;0,6875
51;30;1;2017;I100S29C176J2V1;41;10;137;23;0,588235294
50;32;1;2018;I100S29C176J2V1;41;9;159;27;0,64
37;19;1;2019;I100S29C176J2V1;29;8;165;32;0,513513514
29;22;1;2020;I100S29C176J2V1;26;3;149;28;0,75862069
31;25;1;2016;I100S30C10J1V1;20;11;300;213;0,806451613
19;12;1;2017;I100S30C10J1V1;9;10;219;144;0,631578947
22;11;1;2018;I100S30C10J1V1;8;14;122;96;0,5
29;24;1;2019;I100S30C10J1V1;11;18;82;78;0,827586207
12;5;1;2016;I100S30C10J2V1;7;5;93;65;0,416666667
15;6;1;2017;I100S30C10J2V1;6;9;69;59;0,4
12;9;1;2018;I100S30C10J2V1;4;8;65;47;0,75
9;5;1;2019;I100S30C10J2V1;1;8;54;41;0,555555556
39;36;1;2016;I100S30C129J1V1;27;12;136;52;0,923076923
41;29;1;2017;I100S30C129J1V1;29;12;145;57;0,707317073
52;35;1;2018;I100S30C129J1V1;38;14;155;62;0,673076923
53;40;1;2019;I100S30C129J1V1;32;21;169;67;0,754716981
37;29;1;2020;I100S30C129J1V1;26;11;140;53;0,783783784
80;64;1;2016;I100S30C149J1V1;79;1;347;10;0,8
85;74;1;2017;I100S30C149J1V1;81;4;322;13;0,870588235
76;60;1;2018;I100S30C149J1V1;72;4;335;13;0,789473684
98;75;1;2019;I100S30C149J1V1;94;4;359;15;0,765306122
116;86;1;2020;I100S30C149J1V1;114;2;403;11;0,74137931
32;19;1;2016;I100S30C149J2V1;32;0;191;3;0,59375
30;19;1;2017;I100S30C149J2V1;30;0;202;1;0,633333333
26;22;1;2018;I100S30C149J2V1;26;0;184;2;0,846153846
42;29;1;2019;I100S30C149J2V1;42;0;197;1;0,69047619
31;18;1;2020;I100S30C149J2V1;31;0;210;3;0,580645161
24;17;1;2016;I100S30C168J1V1;21;3;113;5;0,708333333
23;16;1;2017;I100S30C168J1V1;22;1;110;4;0,695652174
21;16;1;2018;I100S30C168J1V1;20;1;93;5;0,761904762
31;27;1;2019;I100S30C168J1V1;28;3;91;6;0,870967742
30;16;1;2020;I100S30C168J1V1;26;4;98;10;0,533333333
38;24;1;2016;I100S30C2J1V1;22;16;87;63;0,631578947
36;27;1;2017;I100S30C2J1V1;15;21;70;62;0,75
33;20;1;2018;I100S30C2J1V1;21;12;74;54;0,606060606
52;43;1;2019;I100S30C2J1V1;35;17;87;70;0,826923077
43;33;1;2020;I100S30C2J1V1;20;23;77;76;0,76744186
24;19;1;2016;I100S31C10J1V1;10;14;161;146;0,791666667
16;13;1;2017;I100S31C10J1V1;6;10;125;138;0,8125
20;17;1;2018;I100S31C10J1V1;5;15;76;96;0,85
22;16;1;2019;I100S31C10J1V1;9;13;54;71;0,727272727
7;1;1;2016;I100S31C10J2V1;3;4;68;41;0,142857143
33;28;1;2016;I100S31C169J1V1;16;17;59;43;0,848484848
31;20;1;2017;I100S31C169J1V1;17;14;80;53;0,64516129
45;34;1;2018;I100S31C169J1V1;25;20;91;72;0,755555556
94;79;1;2019;I100S31C169J1V1;46;48;127;120;0,840425532
103;67;1;2020;I100S31C169J1V1;61;42;173;143;0,650485437
6;5;1;2016;I100S31C169J2V1;3;3;48;22;0,833333333
13;4;1;2017;I100S31C169J2V1;8;5;46;24;0,307692308
20;9;1;2018;I100S31C169J2V1;15;5;43;24;0,45
32;19;1;2019;I100S31C169J2V1;13;19;55;42;0,59375
27;18;1;2020;I100S31C169J2V1;17;10;59;45;0,666666667
48;37;1;2016;I100S31C176J1V1;39;9;156;45;0,770833333
32;24;1;2017;I100S31C176J1V1;23;9;131;46;0,75
42;33;1;2018;I100S31C176J1V1;34;8;129;44;0,785714286
55;45;1;2019;I100S31C176J1V1;44;11;148;44;0,818181818
70;41;1;2020;I100S31C176J1V1;59;11;184;49;0,585714286
20;15;1;2016;I100S31C176J2V1;18;2;102;16;0,75
25;19;1;2017;I100S31C176J2V1;17;8;93;27;0,76
22;13;1;2018;I100S31C176J2V1;19;3;102;24;0,590909091
28;18;1;2019;I100S31C176J2V1;27;1;108;21;0,642857143
23;12;1;2020;I100S31C176J2V1;17;6;90;24;0,52173913
32;26;1;2016;I100S32C10J1V1;19;13;188;138;0,8125
17;12;1;2017;I100S32C10J1V1;6;11;150;126;0,705882353
21;15;1;2018;I100S32C10J1V1;10;11;107;90;0,714285714
30;22;1;2019;I100S32C10J1V1;13;17;85;88;0,733333333
10;5;1;2016;I100S32C10J2V1;9;1;53;27;0,5
78;65;1;2016;I100S32C149J1V1;78;0;316;2;0,833333333
82;74;1;2017;I100S32C149J1V1;81;1;344;3;0,902439024
93;67;1;2018;I100S32C149J1V1;89;4;371;6;0,720430108
94;78;1;2019;I100S32C149J1V1;92;2;387;9;0,829787234
106;63;1;2020;I100S32C149J1V1;103;3;387;9;0,594339623
23;13;1;2016;I100S32C149J2V1;23;0;181;7;0,565217391
30;22;1;2017;I100S32C149J2V1;30;0;191;6;0,733333333
33;25;1;2018;I100S32C149J2V1;33;0;223;3;0,757575758
37;31;1;2019;I100S32C149J2V1;36;1;223;2;0,837837838
40;20;1;2020;I100S32C149J2V1;39;1;254;4;0,5
21;16;1;2016;I100S32C150J1V1;8;13;47;73;0,761904762
27;22;1;2017;I100S32C150J1V1;11;16;49;66;0,814814815
38;34;1;2018;I100S32C150J1V1;14;24;68;85;0,894736842
52;34;1;2019;I100S32C150J1V1;24;28;80;130;0,653846154
59;42;1;2020;I100S32C150J1V1;30;29;91;128;0,711864407
1;1;1;2016;I100S32C168J1V1;1;0;8;2;1
13;11;1;2017;I100S32C168J1V1;11;2;24;3;0,846153846
13;10;1;2018;I100S32C168J1V1;13;0;35;1;0,769230769
35;24;1;2019;I100S32C168J1V1;31;4;65;5;0,685714286
44;36;1;2020;I100S32C168J1V1;41;3;121;7;0,818181818
9;4;1;2016;I100S32C168J2V1;9;0;60;2;0,444444444
17;7;1;2019;I100S32C168J2V1;15;2;39;3;0,411764706
9;4;1;2020;I100S32C168J2V1;8;1;37;2;0,444444444
25;12;1;2016;I100S32C176J2V1;23;2;120;14;0,48
28;20;1;2017;I100S32C176J2V1;24;4;125;16;0,714285714
28;21;1;2018;I100S32C176J2V1;26;2;130;18;0,75
35;21;1;2019;I100S32C176J2V1;35;0;138;17;0,6
40;24;1;2020;I100S32C176J2V1;38;2;151;11;0,6
11;11;1;2016;I100S32C274J1V1;7;4;18;11;1
17;11;1;2017;I100S32C274J1V1;10;7;33;22;0,647058824
20;18;1;2018;I100S32C274J1V1;12;8;45;26;0,9
30;19;1;2019;I100S32C274J1V1;19;11;51;36;0,633333333
27;15;1;2020;I100S32C274J1V1;13;14;44;44;0,555555556
35;30;1;2016;I100S32C2J1V1;20;15;96;55;0,857142857
33;30;1;2017;I100S32C2J1V1;19;14;88;60;0,909090909
45;37;1;2018;I100S32C2J1V1;21;24;93;73;0,822222222
57;39;1;2019;I100S32C2J1V1;32;25;103;89;0,684210526
53;40;1;2020;I100S32C2J1V1;25;28;100;91;0,754716981
31;19;1;2016;I100S33C10J1V1;21;10;258;209;0,612903226
50;37;1;2017;I100S33C10J1V1;17;33;188;198;0,74
52;27;1;2018;I100S33C10J1V1;15;37;128;160;0,519230769
46;24;1;2019;I100S33C10J1V1;16;30;87;115;0,52173913
15;7;1;2016;I100S33C10J2V1;10;5;111;87;0,466666667
15;12;1;2017;I100S33C10J2V1;8;7;92;69;0,8
16;9;1;2018;I100S33C10J2V1;9;7;69;54;0,5625
16;11;1;2019;I100S33C10J2V1;4;12;54;50;0,6875
43;31;1;2016;I100S33C144J1V1;41;2;197;6;0,720930233
48;37;1;2017;I100S33C144J1V1;47;1;232;4;0,770833333
63;46;1;2018;I100S33C144J1V1;62;1;250;5;0,73015873
60;44;1;2019;I100S33C144J1V1;57;3;258;8;0,733333333
38;27;1;2020;I100S33C144J1V1;35;3;245;7;0,710526316
26;18;1;2016;I100S33C144J2V1;26;0;159;3;0,692307692
31;22;1;2017;I100S33C144J2V1;30;1;167;3;0,709677419
39;20;1;2018;I100S33C144J2V1;36;3;177;8;0,512820513
38;25;1;2019;I100S33C144J2V1;36;2;195;7;0,657894737
16;9;1;2020;I100S33C144J2V1;16;0;154;6;0,5625
79;57;1;2016;I100S33C149J1V1;75;4;320;6;0,721518987
90;56;1;2017;I100S33C149J1V1;86;4;335;8;0,622222222
81;59;1;2018;I100S33C149J1V1;78;3;304;11;0,728395062
91;62;1;2019;I100S33C149J1V1;91;0;335;5;0,681318681
81;39;1;2020;I100S33C149J1V1;74;7;332;13;0,481481481
24;15;1;2016;I100S33C149J2V1;22;2;161;4;0,625
28;18;1;2017;I100S33C149J2V1;28;0;161;5;0,642857143
